,Model_Year,Make,Model,Trim,Body_Style,Color_Interior,Color_Exterior,Engine,Displacement,Transmission,Transmission_Detail,VIN,Condition,Mileage,Days_on_Site,Private_or_Dealer,Price,Title_Clean_Filter,PriceHistory
225_725008725,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW0LGN03579,USED,"14,839",135,,88000.0,True,"[{'dateUpdated': '11.30.2024', 'price': '$91,000'}, {'dateUpdated': 'Price Today', 'price': '$88,000'}]"
225_725857104,2016,Aston Martin,V8 Vantage,GTS,Coupe,,,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBDLXGGC20722,USED,"11,493",125,,79500.0,True,
225_726983605,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Black,Blue,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B18GD08837,USED,"30,853",113,,38500.0,True,"[{'dateUpdated': 'Price Today', 'price': '$38,500'}]"
225_728115049,2007,Aston Martin,V8 Vantage,Coupe,Coupe,,Black,8-Cylinder,4.3,Manual,6-Speed Manual,SCFBB03B27GC04806,USED,"46,327",101,,38767.0,True,"[{'dateUpdated': 'Price Today', 'price': '$38,767'}]"
225_730589183,2023,Aston Martin,V8 Vantage,,Coupe,,Yellow,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGAW7PGN07084,USED,"10,914",75,,145000.0,True,
225_730883048,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Brown,Black,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B98GD09900,USED,"31,069",72,,36995.0,True,"[{'dateUpdated': '11.27.2024', 'price': '$38,995'}, {'dateUpdated': '12.04.2024', 'price': '$37,995'}, {'dateUpdated': '12.11.2024', 'price': '$37,495'}, {'dateUpdated': 'Price Today', 'price': '$36,995'}]"
225_731804987,2011,Aston Martin,V8 Vantage,Coupe,Coupe,Black,White,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEFBAK7BGC14594,USED,"21,705",62,,62000.0,True,
225_732464839,2009,Aston Martin,V8 Vantage,Roadster,Convertible,Brown,Silver,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFBF04C19GD12512,USED,"28,112",55,,42995.0,True,"[{'dateUpdated': '12.02.2024', 'price': '$45,495'}, {'dateUpdated': '12.10.2024', 'price': '$44,495'}, {'dateUpdated': '12.18.2024', 'price': '$43,995'}, {'dateUpdated': 'Price Today', 'price': '$42,995'}]"
225_732887298,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Leather,Tungsten Silver,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B08GD08621,USED,"34,823",51,,35328.0,True,"[{'dateUpdated': '11.30.2024', 'price': '$36,995'}, {'dateUpdated': '12.17.2024', 'price': '$35,495'}, {'dateUpdated': '12.19.2024', 'price': '$33,495'}, {'dateUpdated': 'Price Today', 'price': '$35,328'}]"
225_733463389,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW3SGN09979,NEW,30,45,,255600.0,False,
225_733610808,2019,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW5KGN00711,USED,"31,928",43,,84995.0,True,
225_733838757,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW1SGN09897,NEW,27,40,,220900.0,False,
225_735396344,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFWXSGN09607,NEW,38,24,,213700.0,False,
225_735424782,2023,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Satin Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW8PGN50994,USED,"1,395",24,,159895.0,True,
225_736350612,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Lunar White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW9LGN04679,USED,"23,800",12,,94950.0,True,
225_736959753,2021,Aston Martin,V8 Vantage,Coupe,Coupe,,Gray,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAWXMGN05907,USED,0,4,,,True,
250_728732510,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Onyx Black,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW8SGN09511,NEW,23,95,,,False,
250_729618143,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Satin Onyx Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW2SGN09410,NEW,33,86,,298000.0,False,
250_729648166,2012,Aston Martin,V8 Vantage,Roadster,Convertible,Tan,Blue,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEKBBKXCGD16953,USED,"15,786",85,,47977.0,True,"[{'dateUpdated': '12.26.2024', 'price': '$49,977'}, {'dateUpdated': '12.27.2024', 'price': '$47,977'}, {'dateUpdated': '12.27.2024', 'price': '$49,977'}, {'dateUpdated': 'Price Today', 'price': '$47,977'}]"
250_729750054,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,Apex Gray,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW0SGN08983,NEW,58,84,,245595.0,False,
250_730730855,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Podium Green,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW3SGN09142,NEW,25,73,,287595.0,False,
250_732143142,2025,Aston Martin,V8 Vantage,Coupe,Coupe,All Spicy Red,Neutron White,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW9SGN09226,NEW,0,59,,,False,
250_732878817,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Oxford Tan,Buckinghamshire Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW0SGN09566,NEW,23,51,,,False,
250_732878818,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Oxford Tan,Seychelles Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW5SGN09594,NEW,23,51,,,False,
250_732878821,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Dark Knight,Ultramarine Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW7SGN09810,NEW,23,51,,,False,
250_732878843,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Dark Knight,Aluminite Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW4SGN09859,NEW,23,51,,,False,
250_733233492,2025,Aston Martin,V8 Vantage,Coupe,Coupe,All Copper Tan,Satin Onyx Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW4SGN09960,NEW,29,47,,,False,
250_734184364,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Lunar White,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW2SGN09780,NEW,23,37,,,False,
250_734184366,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Xenon Grey,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW8SGN10187,NEW,23,37,,,False,
250_735285423,2025,Aston Martin,V8 Vantage,Coupe,Coupe,All Onyx Black - Semi Aniline,Satin Aston Martin Racing Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW1SGN09818,NEW,30,25,,,False,
250_735285426,2025,Aston Martin,V8 Vantage,Coupe,Coupe,All Spicy Red - Semi Aniline,China Grey,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW5SGN09949,NEW,30,25,,,False,
250_735296769,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Blue Haze Metal,Elwood Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW4SGN09778,NEW,31,25,,,False,
250_735329554,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Californian Poppy,Synapse Orange,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW3SGN09898,NEW,37,25,,248600.0,False,
250_735530014,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Chancellor Red,Onyx Black,8-Cylinder,4.3,Manual,6-Speed Manual,SCFBB04BX8GD08749,USED,"34,539",23,,46900.0,True,
250_735972714,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Elwood Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW8SGN09881,NEW,8,16,,234755.0,False,
250_736463661,2008,Aston Martin,V8 Vantage,Roadster,Convertible,,Yellow,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B68GD09191,USED,"8,348",11,,49500.0,True,
250_736465405,2023,Aston Martin,V8 Vantage,Coupe,Coupe,,Racing Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW2PGN08787,USED,"2,165",11,,,True,
250_736993654,2023,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Onyx Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAWXPGN07712,USED,"5,683",4,Dealer,159990.0,True,
250_737215607,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW5LGN03576,USED,"20,962",2,,85888.0,True,
250_737221754,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Q Supernova Red,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW9SGN09789,USED,782,2,Dealer,238990.0,True,
275_723475137,2020,Aston Martin,V8 Vantage,Coupe,Coupe,,Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW6LGN03893,USED,"20,520",150,Dealer,92995.0,True,
275_728289393,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW3SGN09190,NEW,0,100,,,False,
275_728580387,2020,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3LGN03320,USED,"20,509",96,Dealer,83995.0,True,
275_728644034,2015,Aston Martin,V8 Vantage,GT,Coupe,Black,Black,8-Cylinder,4.7,Manual,6-Speed Manual,SCFEBBAL8FGC19006,USED,"21,887",37,Dealer,72995.0,False,
275_729618144,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Bitter Chocolate,Magnetic Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW7SGN09337,NEW,31,86,,223500.0,False,
275_731257503,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Spicy Red,China Grey,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW3SGN09528,NEW,25,68,,240295.0,False,
275_731659292,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Xenon Grey,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW2SGN09469,NEW,25,64,,232095.0,False,
275_731711399,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,China Gray,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW1SGN08989,USED,691,64,,,True,
275_732078712,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFWXSGN09669,NEW,39,59,,217600.0,False,
275_732625729,2015,Aston Martin,V8 Vantage,GT,Coupe,Black,White,8-Cylinder,4.7,Manual,6-Speed Manual,SCFEBBALXFGC19976,USED,"19,100",53,,,True,
275_732757622,2021,Aston Martin,V8 Vantage,Roadster,Convertible,,Gray,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW4MGP05969,USED,"25,908",52,,109990.0,True,
275_732982889,2019,Aston Martin,V8 Vantage,Coupe,Coupe,,Yellow,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3KGN02134,USED,"12,017",50,,99950.0,True,
275_733818346,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Pure Black,Fiamma Red,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3KGN02098,USED,"10,501",40,,109990.0,True,
275_733888397,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW5SGN09529,NEW,25,39,,229095.0,False,
275_733982667,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW4LGN03908,USED,"10,518",39,Dealer,99995.0,True,"[{'dateUpdated': '12.04.2024', 'price': '$106,991'}, {'dateUpdated': '12.16.2024', 'price': '$104,852'}, {'dateUpdated': '12.27.2024', 'price': '$99,997'}, {'dateUpdated': 'Price Today', 'price': '$99,995'}]"
275_734043079,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW9SGN10165,NEW,29,38,,239000.0,False,
275_734969581,2006,Aston Martin,V8 Vantage,Coupe,Coupe,Tan,Goodwood Green,8-Cylinder,4.3,Manual,6-Speed Manual,SCFBB03B86GC01231,USED,"39,505",29,,57995.0,True,
275_735014600,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW5SGN10048,NEW,30,28,,231100.0,False,
275_735329553,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Magnetic Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW2SGN09939,NEW,40,25,,212600.0,False,
275_735357005,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Yellow,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW0LGN04294,USED,"18,282",24,Dealer,97000.0,True,"[{'dateUpdated': '12.27.2024', 'price': '$89,900'}, {'dateUpdated': '01.04.2025', 'price': '$89,800'}, {'dateUpdated': '01.09.2025', 'price': '$89,000'}, {'dateUpdated': 'Price Today', 'price': '$97,000'}]"
275_735916945,2013,Aston Martin,V8 Vantage,Roadster,Convertible,Black,Gray,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEKBBK5DGD17610,USED,"53,153",18,,44999.0,True,
275_736095917,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black/Ivory,Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW7SGN09516,NEW,0,15,,,False,
275_736710929,2009,Aston Martin,V8 Vantage,Roadster,Convertible,Tan,White,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFBF04C99GD11821,USED,"33,711",8,,34999.0,True,
275_736720413,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Pure Black,Stratus White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW7KGN00967,USED,"41,817",8,,75054.0,True,
275_736735893,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Synapse Orange,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW3SGN09870,NEW,20,7,,230055.0,False,
300_617288993,2010,Aston Martin,V8 Vantage,Roadster,Convertible,Gray,Blue,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEFBBC0AGD13389,USED,"58,000",1136,,,True,
300_715186036,2023,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Satin Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3PGN50983,USED,"2,209",17,Dealer,187000.0,True,
300_718614025,2023,Aston Martin,V8 Vantage,Roadster,Convertible,All Onyx Black Haircell,Satin Lunar White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW3PGP07247,NEW,802,205,,,False,
300_720097392,2019,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW2KGN02061,USED,"23,246",153,Dealer,89998.0,True,
300_720653361,2019,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3KGN01419,USED,"25,267",155,Dealer,89998.0,True,
300_723437844,2009,Aston Martin,V8 Vantage,Roadster,Convertible,,,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFBF04CX9GD13058,USED,"6,913",151,Dealer,49998.0,True,
300_727619854,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Podium Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFWXSGN09106,NEW,59,107,,,False,
300_728356746,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Phantom Grey,Xenon Grey,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW3SGN09206,NEW,0,99,,,False,
300_728411964,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black/Glacier White,Seychelles Blue,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGFW6SGN09149,NEW,0,99,,,False,
300_731062943,2022,Aston Martin,V8 Vantage,Roadster,Convertible,Black,China Gray,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW6NGP06705,USED,"8,140",17,Dealer,124990.0,True,
300_731086131,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Brown,Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW9LGN04844,USED,"10,635",71,Dealer,86995.0,True,"[{'dateUpdated': '12.06.2024', 'price': '$89,995'}, {'dateUpdated': '12.16.2024', 'price': '$87,995'}, {'dateUpdated': '12.27.2024', 'price': '$87,995'}, {'dateUpdated': 'Price Today', 'price': '$86,995'}]"
300_731589260,2021,Aston Martin,V8 Vantage,Roadster,Convertible,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW5MGP05821,USED,"8,787",65,Dealer,99998.0,True,
300_733030099,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Oxford Tan,Minotaur Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFWXSGN09946,NEW,2,50,,,False,
300_734278328,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW2SGN10122,NEW,0,36,,242100.0,False,
300_734673436,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Blue,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAWXLGN03637,USED,"30,994",31,Dealer,81999.0,True,"[{'dateUpdated': '12.12.2024', 'price': '$85,999'}, {'dateUpdated': '01.02.2025', 'price': '$82,999'}, {'dateUpdated': '01.03.2025', 'price': '$82,599'}, {'dateUpdated': 'Price Today', 'price': '$81,999'}]"
300_735082304,2022,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,China Grey,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW8NGN06359,USED,"3,120",27,Dealer,135900.0,True,"[{'dateUpdated': '12.16.2024', 'price': '$145,000'}, {'dateUpdated': '12.26.2024', 'price': '$145,000'}, {'dateUpdated': 'Price Today', 'price': '$135,900'}]"
300_735450847,2020,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW2LGN04281,USED,"34,710",24,Dealer,79998.0,True,
300_736339439,2022,Aston Martin,V8 Vantage,Roadster,Convertible,,White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW7NGP06812,USED,"1,533",12,Dealer,149999.0,True,
300_736498966,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Lunar White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW4KGN02742,USED,"10,691",10,Dealer,95990.0,True,
300_736600998,2019,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW1KGN02830,USED,"14,079",9,Dealer,89998.0,True,
300_736628255,2023,Aston Martin,V8 Vantage,Roadster,Convertible,,White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW5PGP50536,USED,"7,839",8,Dealer,161995.0,True,
300_736809769,2012,Aston Martin,V8 Vantage,S,Convertible,,Black,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBEL0CGD16075,USED,"35,515",6,Dealer,54900.0,True,
300_736896856,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Black,Yellow,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04BX8GD08643,USED,"28,269",5,Dealer,,False,
300_737110899,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Cream Truffle,White,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B68GD09613,USED,"24,132",3,Dealer,44840.0,True,
300_737129380,2019,Aston Martin,V8 Vantage,Coupe,Coupe,,Grau,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW9KGN01361,USED,"31,649",2,Dealer,81462.0,True,
